county area,county code,county polish name,latitude,longitude
52708.00000000000,0404,powiat chełmiński,18.533685,53.300787
141498.00000000000,3217,powiat wałecki,16.319005,53.236491
58959.00000000000,1202,powiat brzeski,20.659039,49.981313
230446.00000000000,2212,powiat słupski,17.165847,54.422532
166037.00000000000,3031,powiat złotowski,16.878038,53.412650
57413.00000000000,3026,powiat śremski,17.101010,52.061360
47140.00000000000,2410,powiat pszczyński,18.891224,49.989840
121760.00000000000,1433,powiat węgrowski,21.946139,52.456250
117783.00000000000,0807,powiat sulęciński,15.180209,52.427908
121877.00000000000,1422,powiat przasnyski,20.913345,53.113619
67516.00000000000,1208,powiat miechowski,20.077789,50.389707
176591.00000000000,3215,powiat szczecinecki,16.559650,53.737670
152825.00000000000,1425,powiat radomski,21.192155,51.335806
45327.00000000000,1430,powiat szydłowiecki,20.843938,51.256071
120425.00000000000,2802,powiat braniewski,19.955400,54.277864
130743.00000000000,2801,powiat bartoszycki,20.568481,54.212517
165932.00000000000,2001,powiat augustowski,23.134057,53.797344
70945.00000000000,0212,powiat lwówecki,15.559104,51.015520
43083.00000000000,0221,powiat wałbrzyski,16.168394,50.757329
51757.00000000000,1465,powiat Warszawa,21.070850,52.232943
66354.00000000000,3211,powiat policki,14.436690,53.529861
113912.00000000000,1801,powiat bieszczadzki,22.630449,49.336373
186743.00000000000,0620,powiat zamojski,23.206913,50.691601
8545.00000000000,1864,powiat Tarnobrzeg,21.711786,50.583777
137990.00000000000,1420,powiat płoński,20.432305,52.639112
160528.00000000000,1426,powiat siedlecki,22.453148,52.191844
73913.00000000000,1409,powiat lipski,21.560063,51.158846
63517.00000000000,0610,powiat łęczyński,22.995788,51.304625
81327.00000000000,0612,powiat opolski,22.000950,51.129010
61403.00000000000,0616,powiat rycki,22.006364,51.662111
57726.00000000000,1018,powiat wieruszowski,18.256720,51.294148
139258.00000000000,0811,powiat żarski,15.007443,51.628258
74717.00000000000,1606,powiat namysłowski,17.722356,51.016029
8662.00000000000,1462,powiat Płock,19.713700,52.535459
96717.00000000000,2004,powiat grajewski,22.418924,53.555080
52254.00000000000,2611,powiat starachowicki,21.145943,51.053639
114172.00000000000,2605,powiat konecki,20.346124,51.151608
96112.00000000000,2811,powiat nidzicki,20.488806,53.372477
69366.00000000000,2812,powiat nowomiejski,19.549279,53.435736
7788.00000000000,2472,powiat Ruda Śląska,18.864305,50.270009
84542.00000000000,3201,powiat białogardzki,16.054877,53.976898
3323.00000000000,2463,powiat Chorzów,18.970397,50.288489
8407.00000000000,0265,powiat Wałbrzych,16.284640,50.785221
37096.00000000000,1203,powiat chrzanowski,19.408247,50.120623
64560.00000000000,1013,powiat rawski,20.376641,51.762199
98829.00000000000,1005,powiat łowicki,19.824433,52.110283
75357.00000000000,1015,powiat skierniewicki,20.009590,51.944938
138543.00000000000,2807,powiat iławski,19.491503,53.674791
8573.00000000000,0861,powiat Gorzów Wielkopolski,15.210753,52.730567
122451.00000000000,0407,powiat inowrocławski,18.324321,52.764581
115999.00000000000,1816,powiat rzeszowski,21.860802,50.057520
73001.00000000000,0406,powiat grudziądzki,19.012375,53.471541
70575.00000000000,2208,powiat lęborski,17.688748,54.568300
77969.00000000000,0216,powiat polkowicki,15.993915,51.499691
176419.00000000000,3203,powiat drawski,16.040284,53.447417
113149.00000000000,0810,powiat żagański,15.528140,51.595035
8468.00000000000,0464,powiat Włocławek,19.096130,52.665564
47889.00000000000,2409,powiat myszkowski,19.294742,50.605518
145756.00000000000,2010,powiat siemiatycki,22.884732,52.488586
121300.00000000000,2808,powiat kętrzyński,21.289321,54.136138
135291.00000000000,2007,powiat łomżyński,22.277580,53.208317
62112.00000000000,1418,powiat piaseczyński,21.014370,52.016297
52095.00000000000,1820,powiat tarnobrzeski,21.860299,50.562674
69540.00000000000,1414,powiat nowodworski,20.667478,52.465740
188589.00000000000,0603,powiat chełmski,23.255655,51.121890
95218.00000000000,0613,powiat parczewski,22.932446,51.600169
46915.00000000000,0617,powiat świdnicki,22.881526,51.124596
88753.00000000000,1002,powiat kutnowski,19.426876,52.251501
49991.00000000000,1006,powiat łódzki wschodni,19.588409,51.686218
77354.00000000000,1806,powiat kolbuszowski,21.771836,50.316404
6438.00000000000,2063,powiat Suwałki,22.931884,54.102714
64344.00000000000,3005,powiat grodziski,16.376855,52.160281
111916.00000000000,3024,powiat szamotulski,16.478501,52.583869
11069.00000000000,2661,powiat Kielce,20.609875,50.854199
47851.00000000000,0202,powiat dzierżoniowski,16.705529,50.734987
69710.00000000000,2214,powiat tczewski,18.747001,53.918938
9830.00000000000,3261,powiat Koszalin,16.217541,54.207180
88929.00000000000,2406,powiat kłobucki,18.865619,50.932734
82210.00000000000,2407,powiat lubliniecki,18.746480,50.673771
12430.00000000000,2461,powiat Bielsko-Biała,19.029288,49.812094
5617.00000000000,0262,powiat Legnica,16.174674,51.204746
67466.00000000000,0222,powiat wołowski,16.627103,51.372063
106471.00000000000,1411,powiat makowski,21.252811,52.947286
74140.00000000000,0219,powiat świdnicki,16.477617,50.870429
115992.00000000000,3017,powiat ostrowski,17.837788,51.607977
6937.00000000000,3061,powiat Kalisz,18.079525,51.747274
118307.00000000000,1413,powiat mławski,20.322242,53.055006
17529.00000000000,0461,powiat Bydgoszcz,18.029370,53.129746
